Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"21,154.1 ns","2,361.5 ns","6,888.7 ns",695.9 ns,"23,550.0 ns","5,550.0000 ns","15,700.0 ns","25,825.0 ns","34,150.0 ns","47,272.2",-298.9 ns,98.00,2.330,2.591,-0.6247,10,*,No,524 B,0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"18,544.0 ns","3,184.3 ns","9,389.0 ns",938.9 ns,"20,350.0 ns","3,250.0000 ns","10,275.0 ns","25,050.0 ns","45,850.0 ns","53,925.8",-419.4 ns,100.00,2.397,3.793,0.2693,10,*,No,971 B,0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,1024,"18,016.0 ns","3,230.6 ns","9,525.5 ns",952.5 ns,"20,650.0 ns","4,950.0000 ns","7,850.0 ns","25,275.0 ns","40,950.0 ns","55,506.2",-426.3 ns,100.00,1.711,4.158,0.1248,10,*,No,976 B,0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,2048,"13,010.0 ns","2,767.8 ns","8,160.9 ns",816.1 ns,"7,950.0 ns","4,000.0000 ns","6,475.0 ns","22,100.0 ns","30,800.0 ns","76,864.0",-358.0 ns,100.00,1.612,2.984,0.5545,6,*,No,"1,194 B",0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,4096,"21,670.0 ns","2,606.8 ns","7,686.1 ns",768.6 ns,"24,800.0 ns","10,000.0000 ns","12,375.0 ns","26,225.0 ns","40,100.0 ns","46,146.7",-334.3 ns,100.00,1.890,3.412,-0.2454,10,*,No,"1,183 B",0.0000
AddLast,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,8192,"29,800.0 ns","2,758.3 ns","8,089.6 ns",813.0 ns,"31,700.0 ns","17,400.0000 ns","20,900.0 ns","33,750.0 ns","50,300.0 ns","33,557.0",-357.0 ns,99.00,2.493,3.388,0.0513,10,*,No,980 B,0.0000
AddRangeIfNotExists,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,64,"67,213.7 ns","5,350.2 ns","15,350.7 ns","1,575.0 ns","67,400.0 ns","31,700.0000 ns","56,750.0 ns","78,500.0 ns","112,100.0 ns","14,877.9",-740.0 ns,95.00,2.814,4.500,0.0855,11,*,No,NA,0.0000
AddRangeIfNotExists,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,128,"76,398.9 ns","5,119.6 ns","14,689.1 ns","1,507.1 ns","77,000.0 ns","40,200.0000 ns","65,500.0 ns","86,400.0 ns","107,900.0 ns","13,089.2",-706.0 ns,95.00,2.385,4.333,0.0147,11,*,No,"6,494 B",0.0000
AddRangeIfNotExists,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,256,"94,946.5 ns","6,159.5 ns","18,064.7 ns","1,815.6 ns","89,300.0 ns","66,800.0000 ns","82,850.0 ns","107,200.0 ns","139,800.0 ns","10,532.3",-858.3 ns,99.00,2.568,2.333,0.6567,12,*,No,"6,495 B",0.0000
AddRangeIfNotExists,Job-JZFTPE,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Collections,512,"131,150.0 ns","7,647.4 ns","22,064.5 ns","2,251.9 ns","132,400.0 ns","82,600.0000 ns","113,475.0 ns","145,625.0 ns","184,500.0 ns","7,624.9","-1,078.0 ns",96.00,2.645,2.897,0.0483,13,*,No,"5,819 B",0.0000
