Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Completed Work Items,Lock Contentions,Exceptions,Code Size
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,5.859 ns,0.1454 ns,0.2938 ns,0.0415 ns,5.509 ns,5.570 ns,5.821 ns,6.145 ns,6.399 ns,"170,669,174.5",24.9792 ns,50.00,1.566,2.174,0.3405,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,6.262 ns,0.0688 ns,0.0644 ns,0.0166 ns,6.170 ns,6.204 ns,6.251 ns,6.315 ns,6.364 ns,"159,683,463.4",7.4917 ns,15.00,1.481,2.000,0.0262,2,*,No,0.0000,0.0000,0.0000,527 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",64,17.173 ns,0.0912 ns,0.0762 ns,0.0211 ns,17.049 ns,17.144 ns,17.185 ns,17.217 ns,17.324 ns,"58,229,522.9",6.4894 ns,13.00,2.213,2.000,0.1289,3,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",128,44.428 ns,0.3095 ns,0.2895 ns,0.0747 ns,44.120 ns,44.230 ns,44.343 ns,44.572 ns,45.044 ns,"22,508,477.8",7.4626 ns,15.00,2.808,2.000,0.9728,5,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",256,82.739 ns,0.6354 ns,0.5944 ns,0.1535 ns,82.009 ns,82.281 ns,82.503 ns,83.083 ns,84.246 ns,"12,086,196.1",7.4233 ns,15.00,3.208,2.000,0.9503,6,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",512,160.272 ns,1.9507 ns,1.8246 ns,0.4711 ns,158.132 ns,158.797 ns,159.775 ns,161.248 ns,163.840 ns,"6,239,407.1",7.2644 ns,15.00,1.941,2.000,0.6164,7,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",1024,314.782 ns,2.3442 ns,2.1927 ns,0.5662 ns,311.584 ns,313.383 ns,314.624 ns,316.143 ns,318.703 ns,"3,176,802.5",7.2169 ns,15.00,1.820,2.000,0.1642,9,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",2048,621.030 ns,3.4066 ns,3.0198 ns,0.8071 ns,614.538 ns,619.750 ns,620.595 ns,623.661 ns,624.825 ns,"1,610,227.1",6.5965 ns,14.00,2.215,2.000,-0.4905,10,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",4096,"1,234.232 ns",8.5772 ns,8.0232 ns,2.0716 ns,"1,221.808 ns","1,227.118 ns","1,235.035 ns","1,239.890 ns","1,247.701 ns","810,220.5",6.4642 ns,15.00,1.614,2.000,-0.0082,12,*,No,0.0000,0.0000,0.0000,223 B
Enumerable.LongCount(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"**FOR COMPARISON**,Collections",8192,"2,468.969 ns",20.2964 ns,18.9853 ns,4.9020 ns,"2,440.452 ns","2,455.256 ns","2,471.433 ns","2,477.108 ns","2,502.073 ns","405,027.4",5.0490 ns,15.00,1.885,2.000,0.2161,15,*,No,0.0000,0.0000,0.0000,223 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,22.070 ns,0.1676 ns,0.1568 ns,0.0405 ns,21.839 ns,21.937 ns,22.048 ns,22.215 ns,22.337 ns,"45,310,704.5",7.4798 ns,15.00,1.585,2.000,0.2428,4,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,44.274 ns,0.1800 ns,0.1596 ns,0.0426 ns,43.964 ns,44.198 ns,44.244 ns,44.355 ns,44.557 ns,"22,586,488.0",6.9787 ns,14.00,2.328,2.000,0.1309,5,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,83.074 ns,0.5194 ns,0.4604 ns,0.1230 ns,82.139 ns,82.837 ns,83.233 ns,83.404 ns,83.682 ns,"12,037,398.9",6.9385 ns,14.00,2.181,2.000,-0.5602,6,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,160.751 ns,1.0812 ns,1.0114 ns,0.2611 ns,159.114 ns,160.079 ns,160.598 ns,161.225 ns,162.827 ns,"6,220,819.7",7.3694 ns,15.00,2.387,2.000,0.4692,7,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,294.981 ns,2.4278 ns,2.2710 ns,0.5864 ns,291.158 ns,293.036 ns,294.769 ns,296.520 ns,298.544 ns,"3,390,045.0",7.2068 ns,15.00,1.600,2.000,0.0503,8,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,622.208 ns,3.8795 ns,3.6289 ns,0.9370 ns,616.459 ns,619.035 ns,622.814 ns,625.194 ns,627.759 ns,"1,607,180.0",7.0315 ns,15.00,1.502,2.000,-0.0730,10,*,No,0.0000,0.0000,0.0000,612 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"1,233.813 ns",4.2213 ns,3.7421 ns,1.0001 ns,"1,227.586 ns","1,231.028 ns","1,232.897 ns","1,235.887 ns","1,240.474 ns","810,495.5",6.4999 ns,14.00,1.803,2.000,0.1862,12,*,No,0.0000,0.0000,0.0000,603 B
FastLongCount,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"2,455.514 ns",18.9427 ns,17.7190 ns,4.5750 ns,"2,434.137 ns","2,439.661 ns","2,453.506 ns","2,471.313 ns","2,486.392 ns","407,246.7",5.2125 ns,15.00,1.412,2.000,0.2269,15,*,No,0.0000,0.0000,0.0000,603 B
