Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Completed Work Items,Lock Contentions,Code Size,Exceptions,Gen0,Gen1,Gen2,Allocated
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,0.3402 ns,0.0105 ns,0.0099 ns,0.0025 ns,0.3381 ns,0.3249 ns,0.3327 ns,0.3477 ns,0.3558 ns,"2,939,607,542.0",7.499 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,0.3231 ns,0.0178 ns,0.0166 ns,0.0043 ns,0.3204 ns,0.3009 ns,0.3125 ns,0.3362 ns,0.3558 ns,"3,095,084,320.1",7.498 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,0.2939 ns,0.0105 ns,0.0098 ns,0.0025 ns,0.2902 ns,0.2826 ns,0.2871 ns,0.3001 ns,0.3134 ns,"3,402,905,076.8",7.499 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,0.2893 ns,0.0115 ns,0.0102 ns,0.0027 ns,0.2871 ns,0.2772 ns,0.2810 ns,0.2962 ns,0.3112 ns,"3,456,880,417.4",6.999 ns,14.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,0.2871 ns,0.0073 ns,0.0069 ns,0.0018 ns,0.2885 ns,0.2765 ns,0.2815 ns,0.2921 ns,0.2987 ns,"3,482,990,003.7",7.499 ns,15.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,0.2801 ns,0.0130 ns,0.0115 ns,0.0031 ns,0.2795 ns,0.2624 ns,0.2723 ns,0.2859 ns,0.3090 ns,"3,570,656,383.9",6.998 ns,14.00,1,No,0.0000,0.0000,87 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,0.3045 ns,0.0158 ns,0.0148 ns,0.0038 ns,0.3025 ns,0.2732 ns,0.2976 ns,0.3154 ns,0.3306 ns,"3,284,541,981.9",7.498 ns,15.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,0.2999 ns,0.0119 ns,0.0111 ns,0.0029 ns,0.3007 ns,0.2800 ns,0.2921 ns,0.3061 ns,0.3201 ns,"3,334,963,743.5",7.499 ns,15.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,0.3114 ns,0.0224 ns,0.0209 ns,0.0054 ns,0.3112 ns,0.2792 ns,0.2988 ns,0.3210 ns,0.3518 ns,"3,211,777,450.5",7.497 ns,15.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,0.2812 ns,0.0084 ns,0.0074 ns,0.0020 ns,0.2786 ns,0.2709 ns,0.2750 ns,0.2883 ns,0.2928 ns,"3,556,226,308.5",6.999 ns,14.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
