Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Code Size,Completed Work Items,Lock Contentions,Gen0,Exceptions,Gen1,Gen2,Allocated
AddCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"501,323.84 ns","3,345.159 ns","2,793.360 ns",774.739 ns,"496,667.68 ns","499,855.18 ns","501,011.43 ns","501,927.44 ns","506,732.91 ns","1,994.7",-380.8693 ns,13.00,16,No,"2,089 B",1024.0273,0.0000,11.7188,0.0000,0.0000,0.0000,393408 B
AddCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"1,030,529.87 ns","13,829.005 ns","12,935.659 ns","3,339.973 ns","1,015,384.38 ns","1,023,932.81 ns","1,024,917.58 ns","1,038,523.44 ns","1,053,963.28 ns",970.4,"-1,662.4864 ns",15.00,19,No,"2,063 B",2048.0234,0.0000,23.4375,0.0000,0.0000,0.0000,786624 B
AddCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"2,183,606.46 ns","32,023.332 ns","29,954.645 ns","7,734.256 ns","2,113,771.09 ns","2,168,489.84 ns","2,184,788.28 ns","2,200,828.91 ns","2,234,450.78 ns",458.0,"-3,859.6280 ns",15.00,21,No,"2,074 B",4096.0391,0.0000,46.8750,0.0000,7.8125,0.0000,1573056 B
AddCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"4,663,474.75 ns","92,858.623 ns","123,963.605 ns","24,792.721 ns","4,484,228.12 ns","4,554,660.94 ns","4,671,917.19 ns","4,739,754.69 ns","4,968,593.75 ns",214.4,"-12,383.8605 ns",25.00,23,No,"2,063 B",8192.0000,0.0000,78.1250,0.0000,15.6250,0.0000,3145920 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"15,798.65 ns",261.606 ns,244.707 ns,63.183 ns,"15,536.49 ns","15,621.76 ns","15,704.66 ns","15,927.77 ns","16,309.87 ns","63,296.5",-24.0915 ns,15.00,4,No,"15,726 B",0.0000,0.0000,0.6714,0.0000,0.0000,0.0000,20424 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"32,057.49 ns",157.104 ns,131.189 ns,36.385 ns,"31,836.83 ns","31,989.47 ns","32,070.57 ns","32,124.50 ns","32,269.39 ns","31,194.0",-11.6926 ns,13.00,5,No,"15,787 B",0.0000,0.0000,1.3428,0.0000,0.0000,0.0000,40440 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"79,142.18 ns",709.960 ns,664.097 ns,171.469 ns,"77,781.65 ns","78,947.12 ns","79,210.39 ns","79,545.56 ns","80,102.08 ns","12,635.5",-78.2345 ns,15.00,9,No,"16,652 B",0.0000,0.0000,2.6855,0.0000,0.0000,0.0000,80424 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"159,491.07 ns",984.735 ns,921.121 ns,237.833 ns,"158,293.51 ns","158,897.97 ns","159,245.63 ns","160,115.86 ns","161,170.04 ns","6,269.9",-111.4163 ns,15.00,11,No,"14,493 B",0.0000,0.0000,1.2207,0.0000,0.0000,0.0000,160344 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"325,169.99 ns","3,249.865 ns","3,039.926 ns",784.905 ns,"320,213.31 ns","323,168.07 ns","324,513.35 ns","326,720.48 ns","330,900.17 ns","3,075.3",-384.9527 ns,15.00,14,No,"15,705 B",0.0000,0.0000,8.7891,0.0000,0.0000,0.0000,320136 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"733,238.81 ns","3,881.415 ns","3,030.353 ns",874.788 ns,"727,162.55 ns","730,989.31 ns","734,283.30 ns","735,874.83 ns","736,010.89 ns","1,363.8",-431.3938 ns,12.00,18,No,"13,496 B",0.0000,0.0000,20.5078,0.0000,1.9531,0.0000,639672 B
