Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Exceptions,Code Size,Gen0,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2,44.55 ns,0.630 ns,0.526 ns,0.146 ns,44.38 ns,43.75 ns,44.33 ns,44.73 ns,45.84 ns,"22,448,167.8",6.427 ns,13.00,4,No,0.0000,"2,964 B",0.0047,0.0000,0.0000,0.0002,0.0002,0 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4,61.47 ns,0.658 ns,0.615 ns,0.159 ns,61.32 ns,60.64 ns,61.02 ns,61.92 ns,62.65 ns,"16,267,477.4",7.421 ns,15.00,7,No,0.0000,"2,954 B",0.0052,0.0000,0.0000,0.0002,0.0002,152 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8,98.59 ns,0.668 ns,0.624 ns,0.161 ns,98.68 ns,97.52 ns,98.07 ns,99.01 ns,99.70 ns,"10,143,523.8",7.419 ns,15.00,9,No,0.0000,"2,954 B",0.0063,0.0000,0.0000,0.0002,0.0002,184 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",16,166.84 ns,1.189 ns,1.112 ns,0.287 ns,166.61 ns,165.17 ns,166.18 ns,167.29 ns,168.91 ns,"5,993,636.1",7.356 ns,15.00,11,No,0.0000,"2,954 B",0.0086,0.0000,0.0000,0.0005,0.0005,248 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",32,300.30 ns,5.029 ns,4.200 ns,1.165 ns,299.51 ns,293.36 ns,297.04 ns,302.98 ns,309.40 ns,"3,330,017.3",5.918 ns,13.00,13,No,0.0000,"2,954 B",0.0138,0.0000,0.0000,0.0005,0.0005,0 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,537.07 ns,6.562 ns,6.138 ns,1.585 ns,537.04 ns,527.92 ns,531.38 ns,541.22 ns,548.01 ns,"1,861,968.2",6.708 ns,15.00,16,No,0.0000,"2,954 B",0.0229,0.0000,0.0000,0.0010,0.0010,0 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,"1,050.64 ns",11.677 ns,10.923 ns,2.820 ns,"1,048.73 ns","1,035.90 ns","1,042.67 ns","1,056.60 ns","1,074.73 ns","951,805.2",6.090 ns,15.00,19,No,0.0000,"2,954 B",0.0381,0.0000,0.0000,0.0000,0.0000,1144 B
'Remove: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,"2,139.14 ns",28.512 ns,26.671 ns,6.886 ns,"2,132.49 ns","2,098.42 ns","2,120.25 ns","2,151.63 ns","2,190.97 ns","467,476.9",4.057 ns,15.00,21,No,0.0000,"3,153 B",0.0725,0.0000,0.0000,0.0000,0.0000,2168 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2,158.01 ns,1.572 ns,1.470 ns,0.380 ns,157.83 ns,155.79 ns,157.09 ns,159.04 ns,160.93 ns,"6,328,909.7",7.310 ns,15.00,11,No,0.0000,"3,874 B",0.0026,0.0000,0.0000,0.0000,0.0000,80 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4,333.37 ns,2.196 ns,2.054 ns,0.530 ns,333.03 ns,330.58 ns,331.98 ns,334.55 ns,337.84 ns,"2,999,637.6",7.235 ns,15.00,14,No,0.0000,"4,179 B",0.0043,0.0000,0.0000,0.0005,0.0005,0 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8,684.42 ns,2.232 ns,1.864 ns,0.517 ns,684.62 ns,681.42 ns,683.21 ns,685.40 ns,687.77 ns,"1,461,093.8",6.242 ns,13.00,17,No,0.0000,"4,206 B",0.0029,0.0000,0.0000,0.0000,0.0000,176 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",16,"1,379.01 ns",9.871 ns,8.750 ns,2.339 ns,"1,381.52 ns","1,363.83 ns","1,373.33 ns","1,385.12 ns","1,390.53 ns","725,157.6",5.831 ns,14.00,20,No,0.0000,"4,200 B",0.0095,0.0000,0.0000,0.0000,0.0000,304 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",32,"3,786.18 ns",18.848 ns,15.739 ns,4.365 ns,"3,786.50 ns","3,765.62 ns","3,773.46 ns","3,798.19 ns","3,816.68 ns","264,118.5",4.317 ns,13.00,22,No,0.0000,"4,224 B",0.0153,0.0000,0.0000,0.0000,0.0000,560 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,"9,926.73 ns",71.505 ns,63.388 ns,16.941 ns,"9,928.63 ns","9,849.20 ns","9,870.48 ns","9,971.76 ns","10,045.40 ns","100,738.1",-1.471 ns,14.00,24,No,0.0000,"4,211 B",0.0305,0.0000,0.0000,0.0000,0.0000,1072 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,"23,204.37 ns",110.631 ns,98.072 ns,26.211 ns,"23,181.19 ns","23,069.96 ns","23,129.52 ns","23,274.33 ns","23,421.83 ns","43,095.3",-6.105 ns,14.00,25,No,0.0000,"6,064 B",0.0610,0.0000,0.0000,0.0000,0.0000,2096 B
'Remove: SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,"58,434.33 ns",326.156 ns,305.087 ns,78.773 ns,"58,530.04 ns","57,825.80 ns","58,223.10 ns","58,630.02 ns","58,977.14 ns","17,113.2",-31.887 ns,15.00,26,No,0.0000,"5,817 B",0.0610,0.0000,0.0000,0.0000,0.0000,4144 B
