Method,Categories,Count,Mean,Allocated
'OrderBy: With Sort Expression',Collections,1024,"406,012.87",21024 B
'OrderBy: With Sort Expression',Collections,2048,"965,343.28",41504 B
'OrderBy: With Sort Expression',Collections,4096,"2,197,740.68",82464 B
'OrderBy: With Sort Expression',Collections,8192,"4,985,977.50",164384 B
AddDistinct,Collections,64,"6,539.41",3184 B
AddDistinct,Collections,128,"15,517.89",17408 B
AddDistinct,Collections,256,"27,770.96",12064 B
AddDistinct,Collections,512,"71,552.41",65408 B
AddDistinct,Collections,1024,"152,653.19",137888 B
AddDistinct,Collections,2048,"281,347.62",93664 B
AddDistinct,Collections,4096,"584,914.88",194784 B
AddDistinct,Collections,8192,"1,642,930.05",1037992 B
AddFirst,Collections,64,480.507,104 B
AddFirst,Collections,128,852.753,104 B
AddFirst,Collections,256,"1,580.51",104 B
AddFirst,Collections,512,"3,264.39",104 B
AddFirst,Collections,1024,"6,390.53",104 B
AddFirst,Collections,2048,"12,775.68",104 B
AddFirst,Collections,4096,"25,770.97",104 B
AddFirst,Collections,8192,"51,903.30",104 B
AddIf,Collections,64,433.023,104 B
AddIf,Collections,128,830.337,104 B
AddIf,Collections,256,"1,605.59",104 B
AddIf,Collections,512,"3,146.65",104 B
AddIf,Collections,1024,"6,103.40",104 B
AddIf,Collections,2048,"12,265.19",104 B
AddIf,Collections,4096,"24,426.45",104 B
AddIf,Collections,8192,"49,770.00",104 B
AddLast,Collections,64,451.604,104 B
AddLast,Collections,128,839.724,104 B
AddLast,Collections,256,"1,630.13",104 B
AddLast,Collections,512,"3,220.93",104 B
AddLast,Collections,1024,"6,180.03",104 B
AddLast,Collections,2048,"12,637.32",104 B
AddLast,Collections,4096,"25,369.24",104 B
AddLast,Collections,8192,"50,604.88",104 B
ContainsAny,Collections,64,232.745,328 B
ContainsAny,Collections,128,239.302,328 B
ContainsAny,Collections,256,236.546,328 B
ContainsAny,Collections,512,231.512,328 B
ContainsAny,Collections,1024,238.401,328 B
ContainsAny,Collections,2048,241.153,328 B
ContainsAny,Collections,4096,232.254,328 B
ContainsAny,Collections,8192,232.649,328 B
Create,Collections,64,"3,080.57",0 B
Create,Collections,128,"6,255.53",6272 B
Create,Collections,256,"13,218.05",0 B
Create,Collections,512,"28,115.81",23336 B
Create,Collections,1024,"63,540.41",47288 B
Create,Collections,2048,"132,018.61",96488 B
Create,Collections,4096,"279,071.44",196224 B
Create,Collections,8192,"697,997.45",365728 B
EnsureUnique,Collections,64,"3,450.20",3488 B
EnsureUnique,Collections,128,"7,363.33",7480 B
EnsureUnique,Collections,256,"15,160.64",16152 B
EnsureUnique,Collections,512,"35,264.59",34584 B
EnsureUnique,Collections,1024,"78,109.85",73256 B
EnsureUnique,Collections,2048,"156,317.82",154288 B
EnsureUnique,Collections,4096,"374,046.99",322726 B
EnsureUnique,Collections,8192,"699,605.55",322727 B
FastShuffle,Collections,64,877.632,584 B
FastShuffle,Collections,128,"1,545.42",1096 B
FastShuffle,Collections,256,"3,014.41",0 B
FastShuffle,Collections,512,"5,949.47",4168 B
FastShuffle,Collections,1024,"12,104.85",8264 B
FastShuffle,Collections,2048,"23,941.71",16456 B
FastShuffle,Collections,4096,"44,500.40",32840 B
FastShuffle,Collections,8192,"92,134.14",65608 B
FirstOrNull,Collections,64,48.804,0 B
FirstOrNull,Collections,128,101.025,0 B
FirstOrNull,Collections,256,192.026,0 B
FirstOrNull,Collections,512,383.414,0 B
FirstOrNull,Collections,1024,"1,002.88",0 B
FirstOrNull,Collections,2048,"2,031.49",0 B
FirstOrNull,Collections,4096,"3,990.07",0 B
FirstOrNull,Collections,8192,"7,898.96",0 B
HasDuplicates,Collections,64,"2,967.95",3424 B
HasDuplicates,Collections,128,"6,586.78",7416 B
HasDuplicates,Collections,256,"14,179.15",16088 B
HasDuplicates,Collections,512,"30,714.75",34520 B
HasDuplicates,Collections,1024,"68,934.74",73192 B
HasDuplicates,Collections,2048,"142,216.96",154224 B
HasDuplicates,Collections,4096,"346,508.48",322670 B
HasDuplicates,Collections,8192,"628,806.66",322667 B
IndexOf,Collections,64,465.876,0 B
IndexOf,Collections,128,880.674,0 B
IndexOf,Collections,256,"1,825.83",0 B
IndexOf,Collections,512,"3,578.87",0 B
IndexOf,Collections,1024,"9,851.50",0 B
IndexOf,Collections,2048,"21,790.12",0 B
IndexOf,Collections,4096,"47,811.41",0 B
IndexOf,Collections,8192,"105,690.38",0 B
IsEmpty,Collections,64,5.507,0 B
IsEmpty,Collections,128,6.204,0 B
IsEmpty,Collections,256,6.193,0 B
IsEmpty,Collections,512,6.23,0 B
IsEmpty,Collections,1024,5.488,0 B
IsEmpty,Collections,2048,5.457,0 B
IsEmpty,Collections,4096,7.642,0 B
IsEmpty,Collections,8192,5.452,0 B
IsNullOrEmpty,Collections,64,6.505,0 B
IsNullOrEmpty,Collections,128,6.779,0 B
IsNullOrEmpty,Collections,256,5.829,0 B
IsNullOrEmpty,Collections,512,5.844,0 B
IsNullOrEmpty,Collections,1024,6.302,0 B
IsNullOrEmpty,Collections,2048,5.731,0 B
IsNullOrEmpty,Collections,4096,6.306,0 B
IsNullOrEmpty,Collections,8192,5.673,0 B
Join,Collections,64,"3,048,858.71",3786074 B
Join,Collections,128,"6,008,841.35",7546216 B
Join,Collections,256,"11,896,596.54",15053663 B
Join,Collections,512,"24,842,295.56",30116487 B
Join,Collections,1024,"50,540,148.33",60182372 B
Join,Collections,2048,"100,920,156.67",120335780 B
Join,Collections,4096,"194,145,400.00",240811120 B
Join,Collections,8192,"390,483,392.86",481390552 B
OrderBy,Collections,64,"11,813.24",1592 B
OrderBy,Collections,128,"29,129.99",2872 B
OrderBy,Collections,256,"70,453.21",5432 B
OrderBy,Collections,512,"171,603.76",10552 B
OrderBy,Collections,1024,"407,688.09",20792 B
OrderBy,Collections,2048,"940,339.14",41272 B
OrderBy,Collections,4096,"2,242,821.47",82232 B
OrderBy,Collections,8192,"5,009,192.08",164152 B
OrderByOrdinal,Collections,64,"2,441.08",1560 B
OrderByOrdinal,Collections,128,"5,724.36",2840 B
OrderByOrdinal,Collections,256,"14,768.00",5400 B
OrderByOrdinal,Collections,512,"54,915.62",10520 B
OrderByOrdinal,Collections,1024,"167,905.19",20760 B
OrderByOrdinal,Collections,2048,"393,038.34",41240 B
OrderByOrdinal,Collections,4096,"919,189.72",82200 B
OrderByOrdinal,Collections,8192,"2,139,635.08",164120 B
Page,Collections,64,744.455,834 B
Page,Collections,128,"1,467.01",1872 B
Page,Collections,256,"2,828.12",3352 B
Page,Collections,512,"5,497.79",6312 B
Page,Collections,1024,"10,965.08",0 B
Page,Collections,2048,"23,015.45",24368 B
Page,Collections,4096,"53,088.77",48640 B
Page,Collections,8192,"110,144.84",0 B
Partition,Collections,64,678.563,1176 B
