Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Completed Work Items,Lock Contentions,Exceptions
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,25.24 ns,0.098 ns,0.092 ns,0.024 ns,25.13 ns,25.17 ns,25.22 ns,25.29 ns,25.42 ns,"39,615,969.9",7.4881 ns,15.00,2.081,2.000,0.6133,1,*,No,653 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,25.29 ns,0.095 ns,0.084 ns,0.023 ns,25.17 ns,25.21 ns,25.29 ns,25.35 ns,25.41 ns,"39,545,796.1",6.9887 ns,14.00,1.409,2.000,-0.0834,1,*,No,653 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,25.32 ns,0.200 ns,0.187 ns,0.048 ns,25.13 ns,25.18 ns,25.25 ns,25.47 ns,25.69 ns,"39,490,361.4",7.4759 ns,15.00,1.845,2.000,0.7112,1,*,No,653 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,25.16 ns,0.050 ns,0.044 ns,0.012 ns,25.10 ns,25.13 ns,25.15 ns,25.18 ns,25.26 ns,"39,749,592.9",6.9941 ns,14.00,2.550,2.000,0.7141,1,*,No,653 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,27.10 ns,0.059 ns,0.046 ns,0.013 ns,27.02 ns,27.08 ns,27.09 ns,27.14 ns,27.19 ns,"36,895,348.9",5.9933 ns,12.00,2.077,2.000,0.1454,2,*,No,655 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,26.66 ns,0.120 ns,0.112 ns,0.029 ns,26.50 ns,26.58 ns,26.62 ns,26.71 ns,26.89 ns,"37,514,828.4",7.4855 ns,15.00,2.360,2.000,0.8051,2,*,No,656 B,0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"3,316.87 ns",14.069 ns,12.472 ns,3.333 ns,"3,296.70 ns","3,307.85 ns","3,317.49 ns","3,323.38 ns","3,339.30 ns","301,489.1",5.3334 ns,14.00,2.063,2.000,0.1596,7,*,No,"2,202 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"6,609.83 ns",25.114 ns,22.263 ns,5.950 ns,"6,579.31 ns","6,592.33 ns","6,609.11 ns","6,620.21 ns","6,653.69 ns","151,289.8",4.0250 ns,14.00,1.994,2.000,0.4019,9,*,No,"2,208 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"13,299.49 ns",47.036 ns,43.998 ns,11.360 ns,"13,232.47 ns","13,274.25 ns","13,282.21 ns","13,330.16 ns","13,396.26 ns","75,190.9",1.8199 ns,15.00,2.369,2.000,0.6261,12,*,No,"2,229 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"13,774.96 ns",57.022 ns,53.338 ns,13.772 ns,"13,686.14 ns","13,725.25 ns","13,776.23 ns","13,805.54 ns","13,878.47 ns","72,595.5",0.6140 ns,15.00,1.988,2.000,0.0848,13,*,No,"2,312 B",0.0000,0.0000,0.0000
