Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",256,242.2484 ns,2.1920 ns,1.8304 ns,0.5077 ns,242.4159 ns,239.3542 ns,241.1897 ns,243.4252 ns,244.9835 ns,"4,127,994.813",6.2462 ns,13.00,1.774,2.000,-0.2499,29,*,No,0.0000,"1,976 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",512,504.6481 ns,4.0578 ns,3.7957 ns,0.9800 ns,503.4710 ns,499.0102 ns,502.0102 ns,508.2917 ns,510.8322 ns,"1,981,579.019",7.0100 ns,15.00,1.554,2.000,0.2196,35,*,No,0.0000,"1,982 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",1024,925.9622 ns,12.3769 ns,10.9718 ns,2.9323 ns,922.6966 ns,912.4664 ns,916.8773 ns,934.0802 ns,946.7592 ns,"1,079,957.641",5.5338 ns,14.00,1.699,2.000,0.4378,39,*,No,0.0000,"1,989 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",2048,"1,973.9850 ns",17.7456 ns,16.5993 ns,4.2859 ns,"1,970.0573 ns","1,953.9291 ns","1,960.6859 ns","1,983.3326 ns","2,013.0302 ns","506,589.453",5.3570 ns,15.00,2.587,2.000,0.7106,46,*,No,0.0000,"1,989 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",4096,"3,238.4750 ns",32.5596 ns,30.4563 ns,7.8638 ns,"3,250.4272 ns","3,197.0028 ns","3,208.5611 ns","3,258.2607 ns","3,293.9621 ns","308,787.312",3.5681 ns,15.00,1.587,2.000,0.0227,51,*,No,0.0000,"1,962 B"
'AddLast : Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",8192,"6,512.8766 ns",22.9429 ns,21.4608 ns,5.5412 ns,"6,504.1321 ns","6,488.4010 ns","6,497.9198 ns","6,527.5444 ns","6,551.2848 ns","153,541.985",4.7294 ns,15.00,1.748,2.000,0.6477,59,*,No,0.0000,"1,966 B"
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",64,2.5137 ns,0.0336 ns,0.0314 ns,0.0081 ns,2.5074 ns,2.4752 ns,2.4906 ns,2.5267 ns,2.5692 ns,"397,825,696.477",7.4959 ns,15.00,1.920,2.000,0.5824,16,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",128,2.4945 ns,0.0246 ns,0.0231 ns,0.0060 ns,2.4923 ns,2.4613 ns,2.4792 ns,2.5140 ns,2.5407 ns,"400,887,203.708",7.4970 ns,15.00,1.952,2.000,0.3529,16,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",256,2.4930 ns,0.0370 ns,0.0346 ns,0.0089 ns,2.4912 ns,2.4555 ns,2.4621 ns,2.5177 ns,2.5720 ns,"401,119,064.028",7.4955 ns,15.00,2.286,2.000,0.6079,16,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",512,2.4961 ns,0.0215 ns,0.0201 ns,0.0052 ns,2.4979 ns,2.4689 ns,2.4815 ns,2.5076 ns,2.5406 ns,"400,627,419.466",7.4974 ns,15.00,2.377,2.000,0.4394,16,*,No,0.0000,581 B
