Method,Count,Mean,Allocated
'New: add collection in constructor - SortedList<ref>',256,"101,255.91",4144 B
'New: add collection in constructor - SortedList<ref>',512,"243,025.54",8240 B
'New: add collection in constructor - SortedList<ref>',1024,"503,238.28",16432 B
'New: add collection in constructor - SortedList<ref>',2048,"1,250,249.18",32816 B
'New: add collection in constructor - SortedList<ref>',4096,"2,572,875.31",65584 B
'New: add collection in constructor - SortedList<ref>',8192,"5,828,640.39",131120 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',64,89.32,0 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',128,150.9,1168 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',256,266.04,2192 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',512,525.58,4240 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',1024,"1,095.40",8336 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',2048,"2,107.42",0 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',4096,"3,312.98",32912 B
'New: add items in constructor + Comparer(LastName) - FastSortedList<ref>',8192,"6,953.12",65680 B
'New: with OrdinalStringComparer - SortedList<ref>',64,"2,355.33",1096 B
'New: with OrdinalStringComparer - SortedList<ref>',128,"5,513.95",2120 B
'New: with OrdinalStringComparer - SortedList<ref>',256,"12,649.29",4168 B
'New: with OrdinalStringComparer - SortedList<ref>',512,"40,621.36",8264 B
'New: with OrdinalStringComparer - SortedList<ref>',1024,"122,703.82",16456 B
'New: with OrdinalStringComparer - SortedList<ref>',2048,"284,686.53",32840 B
'New: with OrdinalStringComparer - SortedList<ref>',4096,"656,241.60",65608 B
'New: with OrdinalStringComparer - SortedList<ref>',8192,"1,498,458.44",131144 B
