Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Gen0,Completed Work Items,Lock Contentions,Exceptions,Code Size,Gen1,Gen2,Allocated
GenerateCharacter,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,90.83 ns,0.438 ns,0.389 ns,0.104 ns,90.07 ns,90.58 ns,90.80 ns,91.17 ns,91.41 ns,"11,009,992.8",6.9481 ns,14.00,3,No,0.0000,0.0000,0.0000,0.0000,393 B,0.0000,0.0000,0 B
GenerateCoordinate,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,233.96 ns,1.089 ns,1.019 ns,0.263 ns,232.14 ns,233.24 ns,234.19 ns,234.69 ns,235.43 ns,"4,274,287.6",7.3685 ns,15.00,5,No,0.0010,0.0000,0.0000,0.0000,918 B,0.0000,0.0000,32 B
GenerateDecimal,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,143.61 ns,2.242 ns,2.097 ns,0.542 ns,141.30 ns,142.16 ns,142.55 ns,145.11 ns,147.99 ns,"6,963,514.4",7.2292 ns,15.00,4,No,0.0000,0.0000,0.0000,0.0000,"3,738 B",0.0000,0.0000,0 B
GenerateDomainExtension,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,765.99 ns",34.220 ns,43.277 ns,9.024 ns,"1,655.40 ns","1,743.84 ns","1,766.74 ns","1,792.07 ns","1,854.92 ns","566,254.5",6.9880 ns,23.00,13,No,0.4368,0.0000,0.0000,0.0000,"2,864 B",0.0134,0.0019,0 B
GenerateEmailAddress,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"4,644.46 ns",36.280 ns,32.162 ns,8.596 ns,"4,590.86 ns","4,622.53 ns","4,645.79 ns","4,654.87 ns","4,706.84 ns","215,310.1",2.7022 ns,14.00,17,No,0.4425,0.0000,0.0000,0.0000,"7,704 B",0.0153,0.0153,13001 B
GenerateInteger,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,72.22 ns,0.642 ns,0.569 ns,0.152 ns,71.46 ns,71.76 ns,72.14 ns,72.54 ns,73.45 ns,"13,846,452.2",6.9240 ns,14.00,1,No,0.0000,0.0000,0.0000,0.0000,379 B,0.0000,0.0000,0 B
GenerateKey,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,86.47 ns,0.711 ns,0.665 ns,0.172 ns,85.18 ns,86.20 ns,86.43 ns,86.76 ns,87.56 ns,"11,564,951.4",7.4141 ns,15.00,2,No,0.0042,0.0000,0.0000,0.0000,802 B,0.0002,0.0002,88 B
GenerateNonZeroByteArray,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,275.25 ns,1.529 ns,1.356 ns,0.362 ns,273.20 ns,274.55 ns,275.42 ns,276.06 ns,278.39 ns,"3,633,037.5",6.8188 ns,14.00,6,No,0.0038,0.0000,0.0000,0.0000,817 B,0.0000,0.0000,128 B
GenerateNumber,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,178.64 ns",12.801 ns,11.348 ns,3.033 ns,"1,162.37 ns","1,171.08 ns","1,177.30 ns","1,182.03 ns","1,203.31 ns","848,436.7",5.4835 ns,14.00,10,No,0.0000,0.0000,0.0000,0.0000,"2,962 B",0.0000,0.0000,48 B
GeneratePhoneNumber,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,850.67 ns",10.711 ns,10.019 ns,2.587 ns,"1,836.59 ns","1,842.60 ns","1,848.70 ns","1,855.61 ns","1,871.66 ns","540,344.6",6.2065 ns,15.00,13,No,0.0057,0.0000,0.0000,0.0000,"9,469 B",0.0000,0.0000,176 B
GenerateRandomFileName,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,670.24 ns",9.586 ns,8.967 ns,2.315 ns,"1,658.33 ns","1,664.82 ns","1,665.80 ns","1,677.60 ns","1,685.57 ns","598,716.1",6.3424 ns,15.00,12,No,0.0114,0.0000,0.0000,0.0000,"5,551 B",0.0000,0.0000,368 B
GenerateRandomLocationData,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"2,581.59 ns",25.112 ns,23.489 ns,6.065 ns,"2,533.86 ns","2,571.08 ns","2,582.31 ns","2,603.52 ns","2,612.82 ns","387,358.0",4.4675 ns,15.00,14,No,0.0839,0.0000,0.0000,0.0000,"11,368 B",0.0000,0.0000,2506 B
GenerateRandomPersonData,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"37,096.14 ns",211.083 ns,197.447 ns,50.981 ns,"36,756.44 ns","36,970.30 ns","37,141.48 ns","37,226.68 ns","37,410.87 ns","26,957.0",-17.9903 ns,15.00,24,No,1.5259,0.0000,0.0000,0.0000,"17,858 B",0.0610,0.0610,0 B
GenerateRandomPersonName,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"28,483.88 ns",224.026 ns,209.555 ns,54.107 ns,"28,167.36 ns","28,295.18 ns","28,543.83 ns","28,634.47 ns","28,888.28 ns","35,107.6",-19.5534 ns,15.00,23,No,1.1597,0.0000,0.0000,0.0000,"8,734 B",0.0610,0.0610,30912 B
GenerateRelativeUrl,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"6,807.78 ns",32.478 ns,30.380 ns,7.844 ns,"6,751.13 ns","6,785.72 ns","6,809.84 ns","6,824.30 ns","6,861.09 ns","146,890.7",3.5780 ns,15.00,19,No,0.0153,0.0000,0.0000,0.0000,"4,503 B",0.0000,0.0000,670 B
GenerateTempFile,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"449,790.10 ns","8,857.418 ns","17,065.238 ns","2,516.132 ns","431,329.13 ns","437,021.46 ns","443,875.05 ns","462,562.65 ns","496,700.56 ns","2,223.3","-1,235.0660 ns",46.00,27,No,0.0000,0.0000,0.0000,0.0000,"7,109 B",0.0000,0.0000,2560 B
GenerateUrl,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"10,160.97 ns",100.874 ns,94.357 ns,24.363 ns,"9,957.83 ns","10,107.51 ns","10,172.12 ns","10,230.34 ns","10,290.48 ns","98,415.8",-4.6815 ns,15.00,21,No,0.4578,0.0000,0.0000,0.0000,"7,768 B",0.0000,0.0000,13890 B
GenerateUrlFragment,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,396.52 ns",15.824 ns,14.802 ns,3.822 ns,"1,380.16 ns","1,384.54 ns","1,394.54 ns","1,401.39 ns","1,425.71 ns","716,068.2",5.5891 ns,15.00,11,No,0.0019,0.0000,0.0000,0.0000,"4,274 B",0.0000,0.0000,102 B
GenerateUrlHostName,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"3,388.36 ns",48.126 ns,45.017 ns,11.623 ns,"3,321.63 ns","3,348.06 ns","3,387.21 ns","3,423.23 ns","3,472.97 ns","295,128.4",1.6883 ns,15.00,15,No,0.2785,0.0000,0.0000,0.0000,"6,046 B",0.0076,0.0076,12998 B
GenerateUrlHostNameNoProtocol,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"3,396.14 ns",38.260 ns,35.789 ns,9.241 ns,"3,310.80 ns","3,374.72 ns","3,405.42 ns","3,418.20 ns","3,437.05 ns","294,452.3",2.8797 ns,15.00,15,No,0.2899,0.0000,0.0000,0.0000,"5,621 B",0.0076,0.0076,12912 B
GenerateUrlHostNameNoSubDomain,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"1,787.77 ns",35.638 ns,55.484 ns,9.808 ns,"1,662.87 ns","1,752.50 ns","1,797.25 ns","1,823.14 ns","1,885.95 ns","559,357.6",11.0958 ns,32.00,13,No,0.4349,0.0000,0.0000,0.0000,"2,856 B",0.0134,0.0019,0 B
GenerateWord,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,990.15 ns,19.564 ns,26.779 ns,5.252 ns,956.53 ns,964.78 ns,980.21 ns,"1,015.28 ns","1,044.34 ns","1,009,946.7",10.3741 ns,26.00,8,No,0.0000,0.0000,0.0000,0.0000,"3,936 B",0.0000,0.0000,48 B
GenerateWords,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,**NEW**,"8,189.23 ns",73.315 ns,68.579 ns,17.707 ns,"8,087.53 ns","8,131.45 ns","8,195.78 ns","8,227.07 ns","8,298.77 ns","122,111.5",-1.3535 ns,15.00,20,No,0.0153,0.0000,0.0000,0.0000,"6,584 B",0.0000,0.0000,680 B
