Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,256,"918,566.43 ns","11,486.369 ns","10,744.357 ns","2,774.181 ns","902,769.53 ns","910,437.16 ns","917,912.30 ns","923,946.09 ns","943,512.99 ns","1,088.65","-1,379.591 ns",15.00,2.709,2.000,0.5975,27,*,No,0.0000,"17,807 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,512,"1,787,352.92 ns","26,232.610 ns","24,538.000 ns","6,335.684 ns","1,733,430.08 ns","1,772,338.67 ns","1,788,273.24 ns","1,807,034.86 ns","1,825,476.17 ns",559.49,"-3,160.342 ns",15.00,2.309,2.000,-0.3689,30,*,No,0.0000,"18,562 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1024,"3,586,772.45 ns","62,366.570 ns","58,337.728 ns","15,062.737 ns","3,486,326.17 ns","3,546,442.19 ns","3,590,228.91 ns","3,640,374.22 ns","3,670,708.98 ns",278.80,"-7,523.868 ns",15.00,1.624,2.000,-0.0471,33,*,No,0.0000,"18,947 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2048,"8,321,460.73 ns","126,138.480 ns","117,990.012 ns","30,464.890 ns","8,181,995.31 ns","8,236,173.44 ns","8,286,304.69 ns","8,412,819.53 ns","8,561,618.75 ns",120.17,"-15,224.945 ns",15.00,1.971,2.000,0.6028,34,*,No,0.0000,"18,578 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4096,"15,909,090.48 ns","312,916.132 ns","372,504.429 ns","81,287.131 ns","15,364,740.62 ns","15,544,881.25 ns","16,035,465.62 ns","16,207,328.12 ns","16,593,431.25 ns",62.86,"-40,633.065 ns",21.00,1.467,3.600,0.0221,36,*,No,0.0000,"18,644 B"
'GetOrAdd: Func',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8192,"33,588,596.89 ns","440,197.690 ns","411,761.193 ns","106,316.283 ns","32,456,846.67 ns","33,409,150.00 ns","33,536,866.67 ns","33,858,666.67 ns","34,181,413.33 ns",29.77,"-53,150.641 ns",15.00,4.292,2.000,-1.0300,38,*,No,0.0000,"18,378 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,64,"203,549.27 ns","1,097.818 ns",973.187 ns,260.095 ns,"201,814.65 ns","202,797.47 ns","203,564.78 ns","203,984.02 ns","205,720.39 ns","4,912.82",-123.048 ns,14.00,2.732,2.000,0.3748,23,*,No,0.0000,"10,925 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,128,"410,717.96 ns","2,020.298 ns","1,889.788 ns",487.941 ns,"408,247.56 ns","409,328.22 ns","409,844.58 ns","412,170.97 ns","414,446.39 ns","2,434.76",-236.471 ns,15.00,1.840,2.000,0.4785,25,*,No,0.0000,"10,659 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,256,"895,985.02 ns","9,782.773 ns","9,150.812 ns","2,362.730 ns","883,654.98 ns","889,783.11 ns","892,680.37 ns","902,803.17 ns","914,756.05 ns","1,116.09","-1,173.865 ns",15.00,1.961,2.000,0.5137,27,*,No,0.0000,"14,776 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,512,"1,832,364.79 ns","35,842.959 ns","33,527.526 ns","8,656.770 ns","1,763,191.21 ns","1,812,791.41 ns","1,834,725.20 ns","1,852,427.15 ns","1,904,484.96 ns",545.74,"-4,320.885 ns",15.00,2.874,2.000,0.0430,30,*,No,0.0000,"17,465 B"
