Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,256,"7,712.7 ns",67.27 ns,59.63 ns,15.94 ns,"7,618.4 ns","7,675.8 ns","7,708.3 ns","7,759.2 ns","7,811.9 ns","129,655.862",-0.9684 ns,14.00,1.743,2.000,-0.0525,5,*,No,0.0000,"2,904 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,512,"15,737.6 ns",186.32 ns,174.29 ns,45.00 ns,"15,512.9 ns","15,591.4 ns","15,692.6 ns","15,830.4 ns","16,080.4 ns","63,542.131",-15.0002 ns,15.00,1.956,2.000,0.5651,8,*,No,0.0000,"2,862 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,1024,"36,674.4 ns",358.12 ns,334.98 ns,86.49 ns,"36,067.9 ns","36,481.4 ns","36,712.1 ns","36,834.8 ns","37,271.5 ns","27,267.008",-35.7463 ns,15.00,2.354,2.000,-0.1485,11,*,No,0.0000,"3,133 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,2048,"83,421.4 ns","1,335.16 ns","1,248.91 ns",322.47 ns,"81,187.4 ns","82,810.0 ns","83,100.3 ns","84,302.0 ns","85,975.1 ns","11,987.328",-153.7336 ns,15.00,2.320,2.000,0.2489,14,*,No,0.0000,"3,266 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,4096,"173,436.6 ns","1,613.85 ns","1,509.60 ns",389.78 ns,"170,894.0 ns","172,186.3 ns","173,141.6 ns","175,030.3 ns","175,341.4 ns","5,765.796",-187.3886 ns,15.00,1.372,2.000,-0.0343,19,*,No,0.0000,"3,133 B"
'OrderBy(): Record',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Record Type,8192,"368,560.5 ns","6,526.07 ns","6,104.49 ns","1,576.17 ns","359,988.4 ns","362,309.1 ns","369,024.2 ns","373,105.7 ns","378,954.9 ns","2,713.259",-780.5867 ns,15.00,1.530,2.000,0.0763,22,*,No,0.0000,"2,884 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,64,"1,778.8 ns",8.75 ns,6.84 ns,1.97 ns,"1,766.8 ns","1,775.9 ns","1,778.8 ns","1,781.8 ns","1,791.3 ns","562,163.810",5.0134 ns,12.00,2.257,2.000,0.0398,1,*,No,0.0000,"2,897 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,128,"3,687.1 ns",21.48 ns,17.93 ns,4.97 ns,"3,651.7 ns","3,677.3 ns","3,692.4 ns","3,698.7 ns","3,718.0 ns","271,215.619",4.0129 ns,13.00,2.208,2.000,-0.3481,2,*,No,0.0000,"2,892 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,256,"7,690.0 ns",65.69 ns,61.44 ns,15.86 ns,"7,591.0 ns","7,651.6 ns","7,705.6 ns","7,717.3 ns","7,814.3 ns","130,038.406",-0.4324 ns,15.00,2.259,2.000,0.1740,5,*,No,0.0000,"2,897 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,512,"15,805.3 ns",94.27 ns,83.57 ns,22.34 ns,"15,664.9 ns","15,741.6 ns","15,808.0 ns","15,866.6 ns","15,922.5 ns","63,269.800",-4.1676 ns,14.00,1.629,2.000,-0.0750,8,*,No,0.0000,"2,891 B"
