Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"1,442.1 ns",27.38 ns,40.98 ns,7.48 ns,"1,434.4 ns","1,351.9 ns","1,418.2 ns","1,447.5 ns","1,533.2 ns","693,454.718",11.2589 ns,30.00,3.153,2.000,0.6556,9,*,No,"2,034 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"2,820.8 ns",56.36 ns,109.92 ns,16.03 ns,"2,806.8 ns","2,662.9 ns","2,719.4 ns","2,909.6 ns","3,068.4 ns","354,508.383",15.4830 ns,47.00,1.890,3.333,0.2935,13,*,No,"2,034 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"5,306.1 ns",105.97 ns,218.85 ns,30.35 ns,"5,345.9 ns","5,020.6 ns","5,099.5 ns","5,504.6 ns","5,782.7 ns","188,462.717",10.8257 ns,52.00,1.510,3.440,0.1959,16,*,No,"1,693 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"10,719.3 ns",212.54 ns,434.16 ns,60.79 ns,"10,462.5 ns","10,188.8 ns","10,325.9 ns","11,140.4 ns","11,506.8 ns","93,289.614",-4.8974 ns,51.00,1.345,3.154,0.2286,20,*,No,"2,025 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"19,394.8 ns",133.86 ns,111.78 ns,31.00 ns,"19,421.4 ns","19,153.6 ns","19,364.5 ns","19,459.2 ns","19,569.5 ns","51,560.263",-9.0014 ns,13.00,2.566,2.000,-0.6651,23,*,No,"2,027 B",0.0000
ToCollection,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"97,787.2 ns",803.49 ns,751.59 ns,194.06 ns,"97,828.0 ns","96,341.7 ns","97,141.0 ns","98,204.4 ns","99,205.1 ns","10,226.292",-89.5295 ns,15.00,2.170,2.000,-0.0462,31,*,No,"4,258 B",0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"3,454,184.8 ns","67,538.32 ns","63,175.39 ns","16,311.81 ns","3,436,636.7 ns","3,360,908.2 ns","3,412,286.9 ns","3,482,279.1 ns","3,562,232.4 ns",289.504,"-8,148.4074 ns",15.00,1.985,2.000,0.5243,39,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"6,827,901.9 ns","55,778.77 ns","52,175.49 ns","13,471.65 ns","6,812,446.1 ns","6,750,496.1 ns","6,788,828.9 ns","6,873,298.0 ns","6,917,421.1 ns",146.458,"-6,728.3272 ns",15.00,1.567,2.000,0.2423,40,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"13,539,997.0 ns","93,440.37 ns","72,952.09 ns","21,059.45 ns","13,547,221.9 ns","13,401,032.8 ns","13,497,146.9 ns","13,594,967.6 ns","13,637,026.6 ns",73.855,"-10,523.7273 ns",12.00,1.820,2.000,-0.3994,41,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"27,679,421.7 ns","116,658.55 ns","103,414.76 ns","27,638.76 ns","27,655,784.4 ns","27,533,634.4 ns","27,617,534.4 ns","27,729,185.2 ns","27,905,421.9 ns",36.128,"-13,812.3790 ns",14.00,2.534,2.000,0.6850,42,*,No,NA,0.0000
