Method,Count,Mean,Allocated
Count,512,0,0 B
Count,1024,0.0197,0 B
Count,2048,0.25,0 B
Count,4096,0.2228,0 B
Count,8192,0,0 B
FastCount,64,0.0133,0 B
FastCount,128,0.258,0 B
FastCount,256,0.0094,0 B
FastCount,512,0.0123,0 B
FastCount,1024,0.0136,0 B
FastCount,2048,0.0021,0 B
FastCount,4096,0.016,0 B
FastCount,8192,0.0173,0 B
FastShuffle,64,858.4161,1104 B
FastShuffle,128,"1,644.56",2128 B
FastShuffle,256,"3,153.16",4176 B
FastShuffle,512,"6,427.80",8272 B
FastShuffle,1024,"12,432.43",16464 B
FastShuffle,2048,"25,039.67",32848 B
FastShuffle,4096,"49,045.09",65617 B
FastShuffle,8192,"96,563.74",131152 B
IsEqualTo,64,0.6215,0 B
IsEqualTo,128,1.3646,0 B
IsEqualTo,256,0.6741,0 B
IsEqualTo,512,0.6294,0 B
IsEqualTo,1024,0.6217,0 B
IsEqualTo,2048,0.8236,0 B
IsEqualTo,4096,0.6101,0 B
IsEqualTo,8192,0.7093,0 B
IsNotEmpty,64,0.0148,0 B
IsNotEmpty,128,0.0173,0 B
IsNotEmpty,256,0,0 B
IsNotEmpty,512,0.0151,0 B
IsNotEmpty,1024,0,0 B
IsNotEmpty,2048,0.2236,0 B
IsNotEmpty,4096,0.0169,0 B
IsNotEmpty,8192,0.0213,0 B
LINQ.Shuffle,64,705.2057,0 B
LINQ.Shuffle,128,"1,370.03",1128 B
LINQ.Shuffle,256,"2,540.52",2152 B
LINQ.Shuffle,512,"5,050.71",4200 B
LINQ.Shuffle,1024,"10,214.46",8296 B
LINQ.Shuffle,2048,"19,853.31",16488 B
LINQ.Shuffle,4096,"37,503.53",32872 B
LINQ.Shuffle,8192,"77,730.19",65640 B
Split,64,131.5599,0 B
Split,128,189.101,1280 B
Split,256,304.2653,2304 B
Split,512,546.393,4352 B
Split,1024,"1,028.91",8448 B
Split,2048,"2,166.90",16640 B
Split,4096,"4,170.27",33024 B
Split,8192,"6,841.09",65792 B
ToCollection,64,7.7113,24 B
ToCollection,128,7.2779,24 B
ToCollection,256,7.3162,24 B
ToCollection,512,7.7779,24 B
ToCollection,1024,7.3522,24 B
ToCollection,2048,7.2826,24 B
ToCollection,4096,7.4496,24 B
ToCollection,8192,7.7664,24 B
ToDistinctBlockingCollection,64,"44,130.14",54920 B
ToDistinctBlockingCollection,128,"157,642.04",108680 B
ToDistinctBlockingCollection,256,"632,822.27",216200 B
ToDistinctBlockingCollection,512,"3,176,984.54",431240 B
ToDistinctBlockingCollection,1024,"15,680,146.77",861320 B
ToDistinctBlockingCollection,2048,"70,738,095.24",1721480 B
ToDistinctBlockingCollection,4096,"305,673,061.36",3441820 B
ToDistinctBlockingCollection,8192,"1,274,508,766.67",6882480 B
ToDistinctConcurrentBag,64,"9,138.49",10192 B
ToDistinctConcurrentBag,128,"23,022.47",35672 B
ToDistinctConcurrentBag,256,"46,771.43",70736 B
ToDistinctConcurrentBag,512,"97,119.22",135992 B
ToDistinctConcurrentBag,1024,"138,295.14",125720 B
ToDistinctConcurrentBag,2048,"395,618.78",487472 B
ToDistinctConcurrentBag,4096,"699,051.01",709872 B
ToDistinctConcurrentBag,8192,"2,154,638.19",1890419 B
ToFastSortedList,64,343.8163,1160 B
ToFastSortedList,128,626.1191,2208 B
ToFastSortedList,256,"1,158.63",4280 B
ToFastSortedList,512,"2,169.67",8400 B
ToFastSortedList,1024,"4,170.25",16616 B
ToFastSortedList,2048,"8,261.00",33024 B
ToFastSortedList,4096,"15,097.54",65816 B
ToFastSortedList,8192,"29,166.25",131376 B
ToFrozenSet,64,"8,633.00",7096 B
ToFrozenSet,128,"20,275.74",20488 B
ToFrozenSet,256,"42,431.03",38512 B
ToFrozenSet,512,"87,026.68",68320 B
ToFrozenSet,1024,"158,199.58",83032 B
ToFrozenSet,2048,"334,745.23",172096 B
ToFrozenSet,4096,"782,308.99",354514 B
ToFrozenSet,8192,"1,629,173.65",635611 B
ToImmutableArray,64,66.5162,536 B
ToImmutableArray,128,129.1341,1048 B
ToImmutableArray,256,241.5786,2072 B
ToImmutableArray,512,509.5239,4120 B
ToImmutableArray,1024,913.298,8216 B
ToImmutableArray,2048,"1,937.00",16408 B
ToImmutableArray,4096,"3,180.69",32792 B
ToImmutableArray,8192,"6,774.02",65560 B
ToListAsync,64,"1,255.46",8296 B
ToListAsync,128,"1,701.11",2312 B
ToListAsync,256,"2,695.60",4384 B
ToListAsync,512,"4,585.30",8504 B
ToListAsync,1024,"14,851.72",16784 B
ToListAsync,2048,"24,539.15",33193 B
ToListAsync,4096,"47,174.04",65986 B
ToListAsync,8192,"87,317.45",131544 B
ToObservable,64,"5,330.98",8040 B
ToObservable,128,"11,458.33",14263 B
ToObservable,256,"23,531.06",34528 B
ToObservable,512,"51,177.20",71392 B
ToObservable,1024,"112,435.06",146929 B
ToObservable,2048,"229,156.87",301689 B
ToObservable,4096,"519,465.37",617579 B
ToObservable,8192,"982,252.37",912491 B
ToObservableCollection,64,83.0896,624 B
ToObservableCollection,128,144.2929,1136 B
ToObservableCollection,256,261.3913,2160 B
ToObservableCollection,512,506.2285,4208 B
ToObservableCollection,1024,"1,062.68",8304 B
ToObservableCollection,2048,"2,079.88",16496 B
ToObservableCollection,4096,"3,302.63",32880 B
