Method,Categories,Count,Mean,Allocated
ToReadOnlyDictionary,Collections,8192,9.422,832 B
ToSortedDictionary,Collections,64,"11,467.92",3752 B
ToSortedDictionary,Collections,128,"29,634.58",7336 B
ToSortedDictionary,Collections,256,"74,782.69",14504 B
ToSortedDictionary,Collections,512,"175,840.58",28840 B
ToSortedDictionary,Collections,1024,"407,744.52",57512 B
ToSortedDictionary,Collections,2048,"921,758.84",114856 B
ToSortedDictionary,Collections,4096,"2,078,025.31",229544 B
ToSortedDictionary,Collections,8192,"4,789,939.96",458920 B
TryGetValue,"**NEW**,Collections",64,22.908,0 B
TryGetValue,"**NEW**,Collections",128,21.143,0 B
TryGetValue,"**NEW**,Collections",256,21.089,0 B
TryGetValue,"**NEW**,Collections",512,21.164,0 B
TryGetValue,"**NEW**,Collections",1024,22.499,0 B
TryGetValue,"**NEW**,Collections",2048,21.162,0 B
TryGetValue,"**NEW**,Collections",4096,21.132,0 B
TryGetValue,"**NEW**,Collections",8192,21.297,0 B
Upsert,Collections,64,418.378,56 B
Upsert,Collections,128,786.643,56 B
Upsert,Collections,256,"1,528.54",56 B
Upsert,Collections,512,"3,011.27",56 B
Upsert,Collections,1024,"6,000.64",56 B
Upsert,Collections,2048,"11,898.19",56 B
Upsert,Collections,4096,"23,763.34",56 B
Upsert,Collections,8192,"47,531.15",56 B
