Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
IsRunningFromAspNet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.1890 ns,0.0144 ns,0.0134 ns,0.0035 ns,2.1712 ns,2.1779 ns,2.1879 ns,2.1973 ns,2.2189 ns,"456,829,006.4",7.498 ns,15.00,2.290,2.000,0.5251,3,*,No,0.0000,179 B
IsUserAdministrator,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.9897 ns,0.0176 ns,0.0165 ns,0.0042 ns,1.9733 ns,1.9764 ns,1.9808 ns,2.0028 ns,2.0263 ns,"502,598,185.5",7.498 ns,15.00,2.151,2.000,0.7209,3,*,No,0.0000,179 B
MaxDegreeOfParallelism,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.1223 ns,0.0141 ns,0.0132 ns,0.0034 ns,2.1020 ns,2.1126 ns,2.1213 ns,2.1309 ns,2.1497 ns,"471,183,171.8",7.498 ns,15.00,2.180,2.000,0.3169,3,*,No,0.0000,179 B
OSArchitecture,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1.9521 ns,0.0064 ns,0.0057 ns,0.0015 ns,1.9423 ns,1.9505 ns,1.9515 ns,1.9566 ns,1.9611 ns,"512,265,246.2",6.999 ns,14.00,1.857,2.000,-0.1111,3,*,No,0.0000,219 B
OSDescription,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,3.5425 ns,0.0312 ns,0.0261 ns,0.0072 ns,3.5209 ns,3.5250 ns,3.5273 ns,3.5491 ns,3.6005 ns,"282,289,042.7",6.496 ns,13.00,2.829,2.000,1.1206,7,*,No,0.0000,960 B
ProcessArchitecture,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.9572 ns,0.0054 ns,0.0048 ns,0.0013 ns,0.9485 ns,0.9538 ns,0.9577 ns,0.9603 ns,0.9653 ns,"1,044,696,834.3",6.999 ns,14.00,1.861,2.000,-0.0623,2,*,No,0.0000,36 B
ProcessId,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,0.0807 ns,0.0039 ns,0.0032 ns,0.0009 ns,0.0743 ns,0.0803 ns,0.0814 ns,0.0828 ns,0.0841 ns,"12,397,401,721.1",6.500 ns,13.00,2.529,2.000,-0.9413,1,*,No,0.0000,129 B
ProcessName,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"24,962.3662 ns",171.4412 ns,160.3662 ns,41.4064 ns,"24,601.3260 ns","24,874.8734 ns","24,959.4009 ns","25,058.1146 ns","25,308.2413 ns","40,060.3",-13.203 ns,15.00,3.300,2.000,-0.0958,10,*,No,0.0000,"4,644 B"
ProcessPath,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0581 ns,0.0063 ns,0.0056 ns,0.0015 ns,2.0485 ns,2.0531 ns,2.0580 ns,2.0630 ns,2.0657 ns,"485,881,123.9",6.999 ns,14.00,1.454,2.000,-0.1984,3,*,No,0.0000,360 B
ReferencedAssemblies,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2.0241 ns,0.0121 ns,0.0114 ns,0.0029 ns,2.0026 ns,2.0147 ns,2.0249 ns,2.0287 ns,2.0474 ns,"494,045,760.7",7.499 ns,15.00,2.437,2.000,0.1201,3,*,No,0.0000,179 B
StackTrace,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"21,180.2647 ns",101.5320 ns,90.0055 ns,24.0550 ns,"21,048.7793 ns","21,129.8065 ns","21,162.8723 ns","21,222.9263 ns","21,368.3472 ns","47,213.8",-5.027 ns,14.00,2.367,2.000,0.5406,9,*,No,0.0000,182 B
WorkingSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,200.5453 ns,3.0759 ns,2.8772 ns,0.7429 ns,194.2391 ns,199.1522 ns,201.0214 ns,202.1575 ns,205.9472 ns,"4,986,405.0",7.129 ns,15.00,2.748,2.000,-0.4044,8,*,No,0.0000,338 B
