Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,256,898.413 ns,17.8831 ns,24.4785 ns,4.8006 ns,887.688 ns,859.696 ns,882.506 ns,915.182 ns,946.471 ns,"1,113,074.04",10.5997 ns,26.00,2.052,2.375,0.6777,22,*,No,432 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,512,"1,933.461 ns",37.1438 ns,32.9271 ns,8.8001 ns,"1,935.528 ns","1,856.325 ns","1,916.137 ns","1,957.085 ns","1,981.976 ns","517,207.27",2.5999 ns,14.00,2.837,2.000,-0.6854,27,*,No,438 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,1024,"3,785.192 ns",57.4976 ns,53.7833 ns,13.8868 ns,"3,791.453 ns","3,677.005 ns","3,751.042 ns","3,806.502 ns","3,884.892 ns","264,187.38",0.5566 ns,15.00,2.373,2.000,-0.0272,29,*,No,426 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,2048,"8,533.820 ns",57.9415 ns,54.1985 ns,13.9940 ns,"8,519.073 ns","8,413.583 ns","8,505.939 ns","8,575.479 ns","8,619.562 ns","117,180.82",0.5030 ns,15.00,2.448,2.000,-0.2730,32,*,No,426 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,4096,"20,516.562 ns",116.3582 ns,108.8415 ns,28.1028 ns,"20,499.556 ns","20,286.897 ns","20,455.392 ns","20,593.864 ns","20,686.198 ns","48,741.11",-6.5514 ns,15.00,2.215,2.000,-0.2405,35,*,No,426 B,0.0000
'CopyTo with index',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,8192,"44,945.918 ns",313.5680 ns,293.3117 ns,75.7327 ns,"45,002.808 ns","44,324.933 ns","44,752.618 ns","45,119.492 ns","45,388.409 ns","22,248.96",-30.3664 ns,15.00,2.242,2.000,-0.3302,38,*,No,426 B,0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,64,"501,479.128 ns","8,735.9124 ns","8,171.5779 ns","2,109.8923 ns","500,921.094 ns","491,009.863 ns","494,957.080 ns","507,028.223 ns","519,480.469 ns","1,994.10","-1,047.4462 ns",15.00,2.237,2.000,0.5157,41,*,No,"7,814 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,128,"1,014,400.436 ns","10,140.0896 ns","9,485.0461 ns","2,449.0284 ns","1,016,623.730 ns","995,575.293 ns","1,006,966.895 ns","1,021,173.145 ns","1,028,614.746 ns",985.80,"-1,217.0142 ns",15.00,1.940,2.000,-0.3830,42,*,No,"7,803 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,256,"2,061,498.099 ns","27,329.8924 ns","25,564.3984 ns","6,600.6993 ns","2,072,341.016 ns","2,021,962.891 ns","2,037,894.531 ns","2,080,275.781 ns","2,096,796.484 ns",485.08,"-3,292.8496 ns",15.00,1.506,2.000,-0.4028,43,*,No,"7,361 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,512,"3,914,330.413 ns","43,064.0775 ns","38,175.1830 ns","10,202.7468 ns","3,911,317.969 ns","3,849,287.891 ns","3,884,538.672 ns","3,932,768.750 ns","3,983,114.453 ns",255.47,"-5,094.3734 ns",14.00,2.041,2.000,0.2400,44,*,No,"7,818 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,1024,"7,904,531.473 ns","156,714.9945 ns","186,558.0695 ns","40,710.3083 ns","7,831,071.875 ns","7,660,053.125 ns","7,750,312.500 ns","8,049,092.188 ns","8,298,348.438 ns",126.51,"-20,344.6542 ns",21.00,1.872,2.000,0.4284,45,*,No,"7,431 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,2048,"15,760,629.688 ns","201,907.1960 ns","178,985.4703 ns","47,835.8791 ns","15,733,157.812 ns","15,491,387.500 ns","15,658,509.375 ns","15,853,339.844 ns","16,129,937.500 ns",63.45,"-23,910.9395 ns",14.00,2.281,2.000,0.3443,46,*,No,"7,655 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,4096,"32,114,482.917 ns","483,995.6315 ns","452,729.8142 ns","116,894.3354 ns","31,989,600.000 ns","31,444,306.250 ns","31,811,125.000 ns","32,436,718.750 ns","32,941,462.500 ns",31.14,"-58,439.6677 ns",15.00,1.986,2.000,0.5079,47,*,No,"7,650 B",0.0000
Add,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,8192,"66,023,623.649 ns","1,317,393.8710 ns","3,305,083.8837 ns","384,208.1973 ns","66,028,343.750 ns","61,873,837.500 ns","62,744,546.875 ns","69,341,009.375 ns","70,448,512.500 ns",15.15,"-192,067.0987 ns",74.00,1.064,4.000,0.0079,48,*,No,"7,301 B",0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,64,"499,083.932 ns","5,931.4419 ns","5,548.2744 ns","1,432.5583 ns","499,154.883 ns","490,209.668 ns","494,494.971 ns","502,974.121 ns","508,473.047 ns","2,003.67",-708.7792 ns,15.00,1.700,2.000,-0.1314,41,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,128,"1,006,196.589 ns","11,244.0409 ns","10,517.6829 ns","2,715.6540 ns","1,006,799.805 ns","988,712.305 ns","997,597.852 ns","1,015,771.484 ns","1,020,818.555 ns",993.84,"-1,350.3270 ns",15.00,1.362,2.000,-0.0144,42,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,256,"2,041,745.260 ns","35,779.8769 ns","33,468.5190 ns","8,641.5345 ns","2,035,664.844 ns","1,973,757.031 ns","2,023,898.047 ns","2,074,091.406 ns","2,091,958.594 ns",489.78,"-4,313.2672 ns",15.00,2.052,2.000,-0.1019,43,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,512,"3,913,888.750 ns","60,093.7475 ns","56,211.7287 ns","14,513.8059 ns","3,927,722.656 ns","3,824,154.688 ns","3,862,825.000 ns","3,944,443.750 ns","3,998,435.938 ns",255.50,"-7,249.4030 ns",15.00,1.658,2.000,-0.2360,44,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,1024,"7,791,658.021 ns","96,144.7303 ns","89,933.8404 ns","23,220.8177 ns","7,788,823.438 ns","7,641,729.688 ns","7,739,403.125 ns","7,860,703.125 ns","7,930,314.062 ns",128.34,"-11,602.9089 ns",15.00,1.639,2.000,0.0108,45,*,No,NA,0.0000
