Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,74.63 ns,1.490 ns,2.089 ns,0.402 ns,75.95 ns,71.66 ns,72.41 ns,76.41 ns,77.23 ns,"13,399,812.4",13.299 ns,27.00,1.142,3.571,-0.1718,2,*,No,0.0000,885 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,76.67 ns,1.546 ns,2.116 ns,0.415 ns,76.65 ns,72.89 ns,75.53 ns,78.57 ns,79.81 ns,"13,042,679.5",12.793 ns,26.00,1.822,2.000,-0.3073,2,*,No,0.0000,872 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,75.60 ns,1.534 ns,2.296 ns,0.419 ns,77.16 ns,72.49 ns,73.19 ns,77.48 ns,78.08 ns,"13,226,875.7",14.790 ns,30.00,1.095,3.529,-0.2432,2,*,No,0.0000,885 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,74.83 ns,0.671 ns,0.628 ns,0.162 ns,74.64 ns,73.96 ns,74.34 ns,75.21 ns,76.11 ns,"13,363,407.0",7.419 ns,15.00,2.050,2.000,0.4865,2,*,No,0.0000,885 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,72.83 ns,0.454 ns,0.424 ns,0.110 ns,72.84 ns,72.34 ns,72.46 ns,73.09 ns,73.73 ns,"13,729,925.2",7.445 ns,15.00,2.081,2.000,0.5741,2,*,No,0.0000,885 B
'PickRandom: Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,73.17 ns,0.682 ns,0.638 ns,0.165 ns,72.89 ns,72.30 ns,72.74 ns,73.64 ns,74.31 ns,"13,666,852.8",7.418 ns,15.00,1.871,2.000,0.5423,2,*,No,0.0000,876 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,74.11 ns,0.530 ns,0.495 ns,0.128 ns,74.07 ns,73.25 ns,73.68 ns,74.52 ns,74.75 ns,"13,493,447.8",7.436 ns,15.00,1.522,2.000,-0.2208,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,73.46 ns,0.569 ns,0.532 ns,0.137 ns,73.26 ns,72.76 ns,73.04 ns,73.89 ns,74.59 ns,"13,612,264.8",7.431 ns,15.00,1.969,2.000,0.4815,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,76.23 ns,1.528 ns,2.554 ns,0.426 ns,76.16 ns,73.01 ns,73.72 ns,78.58 ns,79.81 ns,"13,117,394.7",17.787 ns,36.00,1.079,4.000,0.0248,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,73.84 ns,0.644 ns,0.602 ns,0.156 ns,73.60 ns,73.14 ns,73.49 ns,74.21 ns,75.19 ns,"13,543,473.2",7.422 ns,15.00,2.408,2.000,0.8168,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,73.55 ns,0.460 ns,0.407 ns,0.109 ns,73.48 ns,72.99 ns,73.22 ns,73.78 ns,74.33 ns,"13,595,551.4",6.946 ns,14.00,1.928,2.000,0.5226,2,*,No,0.0000,958 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,75.91 ns,1.532 ns,1.881 ns,0.401 ns,75.12 ns,73.41 ns,74.37 ns,77.49 ns,79.02 ns,"13,172,890.5",10.799 ns,22.00,1.417,3.667,0.1863,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,75.85 ns,0.640 ns,0.599 ns,0.155 ns,75.84 ns,74.65 ns,75.51 ns,76.23 ns,76.98 ns,"13,183,987.0",7.423 ns,15.00,2.356,2.000,-0.0628,2,*,No,0.0000,945 B
'PickRandom: Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,77.88 ns,0.778 ns,0.728 ns,0.188 ns,77.55 ns,76.91 ns,77.42 ns,78.32 ns,79.29 ns,"12,839,910.4",7.406 ns,15.00,2.074,2.000,0.6184,2,*,No,0.0000,949 B
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,42.40 ns,0.501 ns,0.444 ns,0.119 ns,42.38 ns,41.76 ns,42.14 ns,42.67 ns,43.20 ns,"23,585,215.9",6.941 ns,14.00,1.832,2.000,0.1722,1,*,No,0.0000,"4,470 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,42.62 ns,0.397 ns,0.371 ns,0.096 ns,42.59 ns,42.06 ns,42.32 ns,42.87 ns,43.19 ns,"23,464,123.8",7.452 ns,15.00,1.673,2.000,0.0870,1,*,No,0.0000,"4,477 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,42.88 ns,0.330 ns,0.292 ns,0.078 ns,42.85 ns,42.49 ns,42.63 ns,43.08 ns,43.39 ns,"23,318,663.2",6.961 ns,14.00,1.681,2.000,0.3088,1,*,No,0.0000,"4,470 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,42.67 ns,0.486 ns,0.454 ns,0.117 ns,42.71 ns,41.48 ns,42.56 ns,42.96 ns,43.25 ns,"23,435,915.9",7.441 ns,15.00,3.765,2.000,-1.1078,1,*,No,0.0000,"4,477 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,42.38 ns,0.244 ns,0.204 ns,0.057 ns,42.43 ns,42.03 ns,42.22 ns,42.50 ns,42.74 ns,"23,593,384.8",6.472 ns,13.00,1.966,2.000,-0.2586,1,*,No,0.0000,"4,659 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,42.75 ns,0.380 ns,0.356 ns,0.092 ns,42.64 ns,42.23 ns,42.57 ns,42.91 ns,43.40 ns,"23,389,585.0",7.454 ns,15.00,2.086,2.000,0.4188,1,*,No,0.0000,"4,470 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,43.09 ns,0.849 ns,1.073 ns,0.224 ns,42.83 ns,41.01 ns,42.44 ns,43.80 ns,45.33 ns,"23,204,589.5",11.388 ns,23.00,2.419,2.000,0.3392,1,*,No,0.0000,"4,542 B"
BytesToString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,42.57 ns,0.554 ns,0.491 ns,0.131 ns,42.68 ns,41.29 ns,42.51 ns,42.88 ns,43.22 ns,"23,491,046.8",6.934 ns,14.00,3.825,2.000,-1.1630,1,*,No,0.0000,"5,434 B"
